Symbol,Name,Country,IPO Year,Volume,Sector,Industry
BFZ,BlackRock California Municipal Income Trust,United States,2001,34917,Finance,Finance Companies
BG,Bunge Limited Bunge Limited,United States,2001,841564,Basic Industries,Industrial Specialties
BGB,Blackstone Strategic Credit Fund Common Shares,,2012,90862,Finance,Trusts Except Educational Religious and Charitable
BGH,Barings Global Short Duration High Yield Fund Common Shares of Beneficial Interests,United States,2012,47663,Finance,Investment Managers
BGIO,BlackRock 2022 Global Income Opportunity Trust Common Shares of Beneficial Interest,United States,2017,116978,Finance,Finance Companies
BGR,BlackRock Energy and Resources Trust,United States,2004,105234,Finance,Trusts Except Educational Religious and Charitable
BGS,B&G Foods Inc. B&G Foods Inc. Common Stock,United States,,833697,Consumer Non-Durables,Packaged Foods
BGSF,BGSF Inc. Common Stock,United States,,19286,Technology,Diversified Commercial Services
BGSX,Build Acquisition Corp. Class A Common Stock,,2021,8898,,
BGT,BlackRock Floating Rate Income Trust,United States,2004,87700,Finance,Trusts Except Educational Religious and Charitable
BGX,Blackstone Long Short Credit Income Fund Common Shares,,2011,37635,Finance,Trusts Except Educational Religious and Charitable
BGY,Blackrock Enhanced International Dividend Trust,United States,2007,304279,Finance,Trusts Except Educational Religious and Charitable
BH,Biglari Holdings Inc. Class B Common Stock,United States,2018,8452,Consumer Services,Restaurants
BHC,Bausch Health Companies Inc. Common Stock,Canada,,1277965,,
BHE,Benchmark Electronics Inc. Common Stock,United States,,167687,Technology,Electrical Products
BHG,Bright Health Group Inc. Common Stock,,2021,2778918,Health Care,Medical Specialities
BHIL,Benson Hill Inc. Common Stock,,2021,411024,,Farming/Seeds/Milling
BHK,Blackrock Core Bond Trust Blackrock Core Bond Trust,United States,2001,77361,Finance,Finance Companies
BHLB,Berkshire Hills Bancorp Inc. Common Stock,United States,,134369,Finance,Savings Institutions
BHP,BHP Group Limited American Depositary Shares (Each representing two Ordinary Shares),Australia,,3520696,Basic Industries,Precious Metals
BHR,Braemar Hotels & Resorts Inc. Common Stock,United States,2013,189765,Consumer Services,Real Estate Investment Trusts
BHR^B,Braemar Hotels & Resorts Inc. 5.50% Series B Cumulative Convertible Preferred Stock par value $0.01 per share,United States,,1274,,
BHR^D,Braemar Hotels & Resorts Inc. 8.25% Series D Cumulative Preferred Stock  par value $0.01 per share,United States,,85,,
BHV,BlackRock Virginia Municipal Bond Trust,United States,2002,821,Finance,Finance/Investors Services
BHVN,Biohaven Pharmaceutical Holding Company Ltd. Common Shares,United States,2017,384036,Health Care,Biotechnology: Pharmaceutical Preparations
BIF,Boulder Growth & Income Fund Inc.,United States,,107771,Finance,Investment Managers
BIG,Big Lots Inc. Common Stock,United States,,600059,Consumer Services,Department/Specialty Retail Stores
BIGZ,BlackRock Innovation and Growth Trust Common Shares of Beneficial Interest,,2021,1940848,,
BILL,Bill.com Holdings Inc. Common Stock,,2019,2024118,Technology,Computer Software: Prepackaged Software
BIO,Bio-Rad Laboratories Inc. Class A Common Stock,United States,,59440,Capital Goods,Biotechnology: Laboratory Analytical Instruments
BIO/B,Bio-Rad Laboratories Inc.,United States,,21,,
BIP,Brookfield Infrastructure Partners LP Limited Partnership Units,Bermuda,,328867,Consumer Services,Marine Transportation
BIP^A,Brookfield Infrastructure Partners LP 5.125% Class A Preferred Limited Partnership Units Series 13,Bermuda,,8324,,
BIP^B,Brookfield Infrastructure Partners LP 5.000% Class A Preferred Limited Partnership Units Series 14,Bermuda,,7897,,
BIPC,Brookfield Infrastructure Partners LP Class A Subordinate Voting Shares ,,2020,668347,,
BIPH,Brookfield Infrastructure Corporation 5.000% Subordinated Notes due 2081,,2021,14853,Health Care,Medical/Dental Instruments
BIT,BlackRock Multi-Sector Income Trust Common Shares of Beneficial Interest,,2013,50064,Finance,Trusts Except Educational Religious and Charitable
